recorded_by;colnum_full;det_by;det_date;col_date;region;locality;barcode;country;genus;specific_epithet;scientific_name;specificEpithet;species_author;collector_id;prefix;sufix;col_day;col_month;col_year;det_day;det_month;det_year;country_id;continent;coordinate_id;ddlong;ddlat;institute;herbarium_code;colnum;orig_bc;orig_recby;orig_detby
Whitford, HN;567;nan;<NA>;01/08/1904 - 31/08/1904;Quezon;Philippines. Sariaya. Province of Tayabas, Luzon.;P00248452;Philippines;Uvaria;sorzogonensis;0;0;0;0;;;1;8;1904;;;;0;0;0;121.5243402;13.9629837;0;0;567;P00248452;Whitford, H.N.;<NA>
Whitford, HN;870;nan;<NA>;01/09/1904 - 30/09/1904;Quezon;Philippines. Gumaca, Province of Tayabas, Luzon.;P00248453;Philippines;Uvaria;sorzogonensis;0;0;0;0;;;1;9;1904;;;;0;0;0;122.1015591;13.9215088;0;0;870;P00248453;Whitford, H.N.;<NA>
Ramos, M;46833;nan;<NA>;01/02/1926 - 31/03/1926;Isabela;Philippines. San Mariano. Isabela Province. Luzon;P00248454;Philippines;Uvaria;scandens;0;0;0;0;;;1;2;1926;;;;0;0;0;122.0127684;16.9835964;0;0;46833;P00248454;Ramos, M.;<NA>
Elmer, ADE;17640;nan;<NA>;01/06/1917 - 31/07/1917;Laguna;Philippine Island. Los Baños (Mt. Maquiling), Province of Laguna. Island of Luzon;P00248455;Philippines;Uvaria;scandens;0;0;0;0;;;1;6;1917;;;;0;0;0;121.199;14.134;0;0;17640;P00248455;Elmer, A.D.E.;<NA>
Klemme, W;22458;Kessler, P;01/06/2004 - 30/06/2004;01/10/1910 - 31/10/1910;Northern Mindanao (Region X);Philippines. Prov. of Misamis. Mindanao;P00247904;Philippines;Sageraea;lanceolata;0;0;0;0;;;1;10;1910;1;6;2004;0;0;0;;;0;0;22458;P00247904;Klemme, W.;Kessler, P.
Elmer, ADE;4021;Kessler, P;04/09/1985 - 04/09/1985;12/03/1905 - 12/03/1905;Quezon;Philippines. Laguimanoc, Tayabas Prov. Luzon;P00247905;Philippines;Sageraea;glabra;0;0;0;0;;;12;3;1905;4;9;1985;0;0;0;121.815;13.916;0;0;4021;P00247905;Elmer, A.D.E.;Kessler, P.
Escritor, L;;Kessler, P;01/06/2004 - 30/06/2004;01/03/1913 - 30/04/1913;Quezon;Philippines. Guinayangan. Province of Tayabas. Luzon;P00247906;Philippines;Sageraea;lanceolata;0;0;0;0;<NA>;<NA>;1;3;1913;1;6;2004;0;0;0;122.4521906;13.8963821;0;0;nan;P00247906;Escritor, L.;Kessler, P.
Miranda, DP;17939;nan;<NA>;01/01/1913 - 28/02/1913;Northern Mindanao (Region X);Philippines. Province of Misamis. Mindanao;P00247908;Philippines;Sageraea;glabra;0;0;0;0;;;1;1;1913;;;;0;0;0;;;0;0;17939;P00247908;Miranda, D.P.;<NA>
Oliveros, SV;26576;Kessler, P;01/06/2004 - 30/06/2004;01/03/1917 - 31/03/1917;Cotabato;Philippines. District of Cotabato. Mindanao;P00247909;Philippines;Sageraea;lanceolata;0;0;0;0;;;1;3;1917;1;6;2004;0;0;0;125.08333333333333;7.016666666666667;0;0;26576;P00247909;Oliveros, S.V.;Kessler, P.
Ramos, M;;nan;<NA>;01/06/1919 - 30/06/1919;Surigao del Norte;Philippines. Siargao Island;P00247910;Philippines;Sageraea;glabra;0;0;0;0;<NA>;<NA>;1;6;1919;;;;0;0;0;126.05;9.905;0;0;nan;P00247910;Ramos, M.;<NA>
Robinson, CB;9300;Kessler, P;01/06/2004 - 30/06/2004;01/08/1909 - 31/08/1909;Quezon;Philippines. Island of Polillo.;P00247911;Philippines;Sageraea;lanceolata;0;0;0;0;;;1;8;1909;1;6;2004;0;0;0;121.95;14.779;0;0;9300;P00247911;Robinson, C.B.;Kessler, P.
Stadtmiller, LR;20269;Kessler, P;01/06/2004 - 30/06/2004;01/01/1913 - 31/01/1913;Zamboanga Peninsula (Region IX);Philippines. Dist. of Zamboanga. Mindanao.;P00247912;Philippines;Sageraea;lanceolata;0;0;0;0;;;1;1;1913;1;6;2004;0;0;0;122.0763695;6.9046004;0;0;20269;P00247912;Stadtmiller, L.R.;Kessler, P.
Ramos, M;1683;nan;01/01/1994 - 31/12/1994;01/04/1914 - 30/04/1914;Eastern Visayas (Region VIII);Philippine Plants. Samar;P00247914;Philippines;Sageraea;lanceolata;0;0;0;0;;;1;4;1914;1;1;1994;0;0;0;125.11;11.96;0;0;1683;P00247914;Ramos, M.;van Heusden, E.C.H.
Elmer, ADE;13273;nan;<NA>;01/07/1912 - 31/07/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta), Province of Agusan. Island of Mindanao.;P00248456;Philippines;Uvaria;scandens;0;0;0;0;;;1;7;1912;;;;0;0;0;125.5322203;9.1232986;0;0;13273;P00248456;Elmer, A.D.E.;<NA>
Loher, A;53;nan;<NA>;15/05/1890 - 15/05/1890;National Capital Region (NCR);Herbarium Philippinense. San Francisco del Monte. Luzon central.;P00248459;Philippines;Uvaria;rufa;0;0;0;0;;;15;5;1890;;;;0;0;0;121.0155;14.6105;0;0;53;P00248459;Loher, A.;<NA>
Merrill, ED;9605;nan;<NA>;01/05/1913 - 31/05/1913;Palawan;Philippines. Silanga. Palawan;P00248461;Philippines;Uvaria;rufa;0;0;0;0;;;1;5;1913;;;;0;0;0;119.5616633;11.0241208;0;0;9605;P00248461;Merrill, E.D.;<NA>
Ramos, M;1852;nan;<NA>;01/08/1914 - 31/08/1914;Batangas;Philippine plants. Province of Batangas. Luzon;P00248462;Philippines;Uvaria;rufa;0;0;0;0;;;1;8;1914;;;;0;0;0;121.057754;13.7561219;0;0;1852;P00248462;Ramos, M.;<NA>
Whitford, HN;397;nan;<NA>;01/06/1904 - 30/06/1904;Bataan;Philippines. Lamao River, Mt. Mariveles, Province of Bataan, Luzon.;P00248463;Philippines;Uvaria;rufa;0;0;0;0;;;1;6;1904;;;;0;0;0;120.521;14.517;0;0;397;P00248463;Whitford, H.N.;<NA>
Cumming;1380;nan;04/08/2009 - 04/08/2009;<NA>;National Capital Region (NCR);Manille;P00248474;Philippines;Uvaria;grandiflora;0;0;0;0;;;;;;4;8;2009;0;0;0;120.9809674;14.5907332;0;0;1380;P00248474;Cumming;Attanayake, A.M.A.S.
Cumming;1589;nan;<NA>;<NA>;National Capital Region (NCR);Manille.;P00248475;Philippines;Uvaria;rufa;0;0;0;0;;;;;;;;;0;0;0;120.9809674;14.5907332;0;0;1589;P00248475;Cumming;<NA>
Merrill, ED;2735;nan;<NA>;01/06/1903 - 30/06/1903;Batangas;Philippines. Malapad nabato. Prov. of Rizal, Luzon;P00248476;Philippines;Uvaria;rufa;0;0;0;0;;;1;6;1903;;;;0;0;0;120.6827773;14.1042132;0;0;2735;P00248476;Merrill, E.D.;<NA>
Elmer, ADE;6369;nan;<NA>;01/05/1904 - 31/05/1904;Benguet;Philippines. Twin Peaks, Province of Benguet, Luzon.;P00248477;Philippines;Uvaria;rufa;0;0;0;0;;;1;5;1904;;;;0;0;0;120.575;16.306;0;0;6369;P00248477;Elmer, A.D.E.;<NA>
Elmer, ADE;6369;nan;<NA>;01/05/1904 - 31/05/1904;Benguet;Philippines. Twin Peaks, Province of Benguet, Luzon.;P00248478;Philippines;Uvaria;rufa;0;0;0;0;;;1;5;1904;;;;0;0;0;120.5610303;16.2614528;0;0;6369;P00248478;Elmer, A.D.E.;<NA>
Elmer, ADE;17418;nan;<NA>;01/03/1917 - 31/03/1917;Rizal;Philippine. Montalban, Province of Rizal, Luzon;P00248479;Philippines;Uvaria;rufa;0;0;0;0;;;1;3;1917;;;;0;0;0;121.246521;14.7430394;0;0;17418;P00248479;Elmer, A.D.E.;<NA>
Elmer, ADE;16852;Elmer, ADE;<NA>;01/08/1916 - 31/08/1916;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan). Province of Sorsogon. Island of Luzon;P00248489;Philippines;Uvaria;peninsula;0;0;0;0;;;1;8;1916;;;;0;0;0;124.0320966;12.7038417;0;0;16852;P00248489;Elmer, A.D.E.;Elmer, A.D.E.
Ramos, M;43209;Reveillard, C;01/08/2002 - 31/08/2002;01/08/1923 - 31/10/1923;Bohol;Philippines. Bohol;P00248490;Philippines;Uvaria;peninsula;0;0;0;0;;;1;8;1923;1;8;2002;0;0;0;124.16;9.83;0;0;43209;P00248490;Ramos, M.;Reveillard, C.
Klemme, W;7053;Kessler, P;01/06/2004 - 30/06/2004;01/05/1907 - 31/05/1907;Cagayan;Philippines. Cagayan Prov. Luzon;P00248491;Philippines;Goniothalamus;sp.;0;0;0;0;;;1;5;1907;1;6;2004;0;0;0;121.833333;18.0;0;0;7053;P00248491;Klemme, W.;Kessler, P.
Marche, A;137;nan;<NA>;01/06/1884 - 30/06/1884;Palawan;Ile Culion. Philippines;P00248492;Philippines;Uvaria;peninsula;0;0;0;0;;;1;6;1884;;;;0;0;0;119.97;11.82;0;0;137;P00248492;Marche, A.;<NA>
Achacoso, I;26807;Kessler, P;01/01/1989 - 31/12/1989;01/04/1917 - 30/04/1917;Antique;Philippines. Province of Antique. Panay;P00267940;Philippines;Neo-Uvaria;sp.;0;0;0;0;;;1;4;1917;1;1;1989;0;0;0;122.08;11.17;0;0;26807;P00267940;Achacoso, I.;Kessler, P.
Ramos, M;17496;Kessler, P;01/01/1989 - 31/12/1989;01/03/1914 - 30/04/1914;Eastern Visayas (Region VIII);Philippines. Samar;P00267945;Philippines;Neo-uvaria;sp.;0;0;0;0;;;1;3;1914;1;1;1989;0;0;0;125.11;11.96;0;0;17496;P00267945;Ramos, M.;Kessler, P.
Ramos, M;;Kessler, P;01/01/1989 - 31/12/1989;01/02/1916 - 31/03/1916;Northern Samar;Philippines. Catubig River, Samar;P00267946;Philippines;Neo-uvaria;sp.;0;0;0;0;<NA>;<NA>;1;2;1916;1;1;1989;0;0;0;125.03;12.467;0;0;nan;P00267946;Ramos, M.;Kessler, P.
Ramos, M;40854;Kessler, P;01/01/1989 - 31/12/1989;01/06/1922 - 30/06/1922;Oriental Mindoro;Philippines. Pinamalayan. Mindoro;P00267947;Philippines;Neo-uvaria;sp.;0;0;0;0;;;1;6;1922;1;1;1989;0;0;0;121.4801563;13.0386691;0;0;40854;P00267947;Ramos, M.;Kessler, P.
Ramos, M;48066;Kessler, P;01/01/1989 - 31/12/1989;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat Island;P00267948;Philippines;Neo-uvaria;sp.;0;0;0;0;;;1;9;1926;1;1;1989;0;0;0;122.05;14.117;0;0;48066;P00267948;Ramos, M.;Kessler, P.
Somonte, A;24958;Kessler, P;01/01/1989 - 31/12/1989;01/12/1915 - 31/12/1915;Zamboanga del Sur;Philippines. District of Zamboanga. Mindanao;P00267949;Philippines;Neo-uvaria;sp.;0;0;0;0;;;1;12;1915;1;1;1989;0;0;0;122.0763695;6.9046004;0;0;24958;P00267949;Somonte, A.;Kessler, P.
Agama, J;;nan;<NA>;01/10/1914 - 30/11/1914;Lanao del Norte;Philippines. Lanao District, Mindanao;P00267950;Philippines;Neo-uvaria;acuminatissima;0;0;0;0;<NA>;<NA>;1;10;1914;;;;0;0;0;124.113;7.912;0;0;nan;P00267950;Agama, J.;<NA>
Elmer, ADE;14184;nan;01/01/1987 - 31/12/1987;01/10/1912 - 31/10/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta). Province of Agusan. island of Mindanao;P00267952;Philippines;Neouvaria;acuminatissima;0;0;0;0;;;1;10;1912;1;1;1987;0;0;0;125.5322203;9.1232986;0;0;14184;P00267952;Elmer, A.D.E.;van Setten, A.K.
Elmer, ADE;15403;nan;<NA>;01/11/1915 - 30/11/1915;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon;P00267953;Philippines;Neo-Uvaria;acuminatissima;0;0;0;0;;;1;11;1915;;;;0;0;0;124.055;12.766;0;0;15403;P00267953;Elmer, A.D.E.;<NA>
Merrill, ED;3728;nan;<NA>;01/01/1904 - 01/01/1904;Bataan;Philippines. Mt. Mariveles. Prov. of Bataan. Luzon;P00267956;Philippines;Mitrephora;merrillii;0;0;0;0;;;1;1;1904;;;;0;0;0;120.485;14.523;0;0;3728;P00267956;Merrill, E.D.;<NA>
Ramos, M;39578;nan;<NA>;01/04/1921 - 30/04/1921;Occidental Mindoro;Philippines. Paluan. Mindoro;P00267957;Philippines;Neo-Uvaria;acuminatissima;0;0;0;0;;;1;4;1921;;;;0;0;0;120.4623373;13.4155816;0;0;39578;P00267957;Ramos, M.;<NA>
Whitford, HN;;nan;<NA>;01/09/1912 - 30/09/1912;Laguna;Philippines. Mt. Maquiling, Province of Laguna, Luzon.;P00248499;Philippines;Uvaria;ovalifolia;0;0;0;0;<NA>;<NA>;1;9;1912;;;;0;0;0;121.19840812578333;14.132530088770137;0;0;nan;P00248499;Whitford, H.N.;<NA>
Ramos, M;;Weerasooriya, AD;01/03/2001 - 31/03/2001;01/07/1918 - 31/07/1918;Ilocos Norte;Philippines. Burgos. Ilocos Norte Province. Luzon;P00133830;Philippines;Mitrephora;lanotan;0;0;0;0;<NA>;<NA>;1;7;1918;1;3;2001;0;0;0;120.6436311;18.5110086;0;0;nan;P00133830;Ramos, M.;Weerasooriya, A.D.
Ramos, M;48007;nan;<NA>;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat Island;P01988101;Philippines;Goniothalamus;trunciflorus;0;0;0;0;;;1;9;1926;;;;0;0;0;122.05;14.117;0;0;48007;P01988101;Ramos, M.;<NA>
Ramos, M;41106;nan;<NA>;01/06/1922 - 30/06/1922;Oriental Mindoro;Philippines. Pinamalayan. Mindoro;P01988111;Philippines;Goniothalamus;puncticulifolius;0;0;0;0;;;1;6;1922;;;;0;0;0;121.4801563;13.0386691;0;0;41106;P01988111;Ramos, M.;<NA>
Ramos, M;24286;nan;<NA>;01/02/1916 - 31/03/1916;Northern Samar;Philippines. Catubig River, Samar;P01988113;Philippines;Goniothalamus;philippinensis;0;0;0;0;;;1;2;1916;;;;0;0;0;125.03;12.467;0;0;24286;P01988113;Ramos, M.;<NA>
Curran, HM;;nan;<NA>;01/04/1906 - 30/04/1906;Palawan;Philippines. Palawan;P01988127;Philippines;Goniothalamus;obtusifolius;0;0;0;0;<NA>;<NA>;1;4;1906;;;;0;0;0;118.75;10.0;0;0;nan;P01988127;Curran, H.M.;<NA>
Ramos, M;40989;nan;<NA>;01/06/1922 - 30/06/1922;Oriental Mindoro;Philippines. Pinamalayan. Mindoro;P01988128;Philippines;Goniothalamus;obtusifolius;0;0;0;0;;;1;6;1922;;;;0;0;0;121.4801563;13.0386691;0;0;40989;P01988128;Ramos, M.;<NA>
Merrill, ED;9215;Merrill, ED;<NA>;01/04/1913 - 30/04/1913;Palawan;Philippines Taytay Palawan;P01988129;Philippines;Goniothalamus;obtusifolius;0;0;0;0;;;1;4;1913;;;;0;0;0;119.5159199;10.8264031;0;0;9215;P01988129;Merrill, E.D.;Merrill, E.D.
Marche, A;131;Kessler, P;01/05/2004 - 31/05/2004;01/06/1884 - 30/06/1884;Palawan;Ile Culion. Philippines;P01988130;Philippines;Goniothalamus;obtusifolius;0;0;0;0;;;1;6;1884;1;5;2004;0;0;0;119.98;11.85;0;0;131;P01988130;Marche, A.;Kessler, P.
Marche, A;B 131;nan;<NA>;01/06/1884 - 30/06/1884;;Philippines;P01988131;Philippines;Goniothalamus;obtusifolius;0;0;0;0;B;;1;6;1884;;;;0;0;0;;;0;0;131;P01988131;Marche, A.;<NA>
Ramos, M;33768;nan;<NA>;01/11/1918 - 31/12/1918;Camarines Norte;Philippines. Paracale. Camarines Province. Luzon;P01988132;Philippines;Goniothalamus;oblongipetalus;0;0;0;0;;;1;11;1918;;;;0;0;0;122.7873227;14.2795995;0;0;33768;P01988132;Ramos, M.;<NA>
Ramos, M;31420;nan;<NA>;01/04/1918 - 31/05/1918;Capiz;Philippines. Jamindan. Capiz Province. Panay;P01988133;Philippines;Goniothalamus;oblongipetalus;0;0;0;0;;;1;4;1918;;;;0;0;0;122.5105924;11.4089123;0;0;31420;P01988133;Ramos, M.;<NA>
Ramos, M;33921;nan;<NA>;01/11/1918 - 31/12/1918;Camarines Norte;Philippines. Mt. Bagacay. Camarines Province. Luzon;P01988134;Philippines;Goniothalamus;oblongipetalus;0;0;0;0;;;1;11;1918;;;;0;0;0;122.822;14.218;0;0;33921;P01988134;Ramos, M.;<NA>
Ramos, M;33781;nan;<NA>;01/11/1918 - 31/12/1918;Camarines Norte;Philippines. Paracale. Camarines Province;P01988135;Philippines;Goniothalamus;oblongipetalus;0;0;0;0;;;1;11;1918;;;;0;0;0;122.7873227;14.2795995;0;0;33781;P01988135;Ramos, M.;<NA>
Ramos, M;;nan;<NA>;01/09/1915 - 30/09/1915;Sorsogon;Bulusan Volcano, Province de Sorsogon, Luzon;P01988136;Philippines;Goniothalamus;oblongipetalus;0;0;0;0;<NA>;<NA>;1;9;1915;;;;0;0;0;124.05727386474611;12.768989918370245;0;0;nan;P01988136;Ramos, M.;<NA>
Ramos, M;;nan;<NA>;01/04/1927 - 31/05/1927;Davao Oriental;Philippines. Mt. Mayo. Davao province. Mindanao.;P01988137;Philippines;Goniothalamus;mindanaensis;0;0;0;0;<NA>;<NA>;1;4;1927;;;;0;0;0;126.312;7.109;0;0;nan;P01988137;Ramos, M.;<NA>
Ramos, M;;nan;<NA>;01/04/1914 - 30/04/1914;Samar;Philippine plants. Samar;P01988138;Philippines;Goniothalamus;mindanaensis;0;0;0;0;<NA>;<NA>;1;4;1914;;;;0;0;0;125.0;11.8333;0;0;nan;P01988138;Ramos, M.;<NA>
Sandique, JD;24034;nan;<NA>;01/05/1915 - 31/05/1915;Iloilo;Philippines. Iloilo. Panay;P01988142;Philippines;Goniothalamus;magnificus;0;0;0;0;;;1;5;1915;;;;0;0;0;122.5686136;10.7026718;0;0;24034;P01988142;Sandique, J.D.;<NA>
Ramos, M;38727;nan;<NA>;01/06/1920 - 31/07/1920;Bukidnon;Philippines. Mt. Candoon. Bukidnon subprovince. Mindanao;P01988146;Philippines;Goniothalamus;lancifolius;0;0;0;0;;;1;6;1920;;;;0;0;0;124.999;8.023;0;0;38727;P01988146;Ramos, M.;<NA>
Barros, C;24844;nan;<NA>;01/08/1915 - 31/10/1915;Cagayan;Philippines. Province of Cagayan. Luzon;P01988147;Philippines;Goniothalamus;lancifolius;0;0;0;0;;;1;8;1915;;;;0;0;0;121.694;18.228;0;0;24844;P01988147;Barros, C.;<NA>
Cumming;1684;nan;<NA>;<NA>;National Capital Region (NCR);Manille;P01988155;Philippines;Goniothalamus;giganteus;0;0;0;0;;;;;;;;;0;0;0;120.9809674;14.5907332;0;0;1684;P01988155;Cumming;<NA>
Ramos, M;40638;nan;<NA>;01/03/1922 - 31/03/1922;Oriental Mindoro;Philippines. Mt. Halcon. Mindoro;P01988161;Philippines;Goniothalamus;epiphyticus;0;0;0;0;;;1;3;1922;;;;0;0;0;120.995;13.262;0;0;40638;P01988161;Ramos, M.;<NA>
Ramos, M;28799;nan;<NA>;01/05/1917 - 31/05/1917;Quezon;Philippines. Mt. Binuang. Province of Tayabas. Luzon.;P01988162;Philippines;Goniothalamus;elmeri;0;0;0;0;;;1;5;1917;;;;0;0;0;121.557;14.775;0;0;28799;P01988162;Ramos, M.;<NA>
Jimenez, R;;nan;<NA>;01/12/1917 - 31/12/1917;Lanao del Norte;Philippines. Lanao District, Mindanao.;P01988163;Philippines;Goniothalamus;elmeri;0;0;0;0;<NA>;<NA>;1;12;1917;;;;0;0;0;124.113;7.912;0;0;nan;P01988163;Jimenez, R.;<NA>
Elmer, ADE;13933;nan;<NA>;01/09/1912 - 30/09/1912;Agusan del Norte;Philippine Islands. Cabadbaran (Mt. Urdaneta), province of Agusan. Island of Mindanao.;P01988164;Philippines;Goniothalamus;elmeri;0;0;0;0;;;1;9;1912;;;;0;0;0;125.532318;9.1231657;0;0;13933;P01988164;Elmer, A.D.E.;<NA>
Ramos, M;;nan;<NA>;01/09/1911 - 30/09/1911;Laguna;Philippines. Mt Maquiling. Prov. of Laguna. Luzon;P01988165;Philippines;Goniothalamus;elmeri;0;0;0;0;<NA>;<NA>;1;9;1911;;;;0;0;0;121.2;14.132;0;0;nan;P01988165;Ramos, M.;<NA>
Elmer, ADE;22318;nan;<NA>;01/05/1927 - 31/05/1927;Pampanga;Philippine Islands. Camp Stotsenburg (Mt. Pinatubo), Pampanga Province, Luzon.;P01988166;Philippines;Goniothalamus;elmeri;0;0;0;0;;;1;5;1927;;;;0;0;0;120.522;15.18;0;0;22318;P01988166;Elmer, A.D.E.;<NA>
Loher, A;12265;nan;<NA>;01/12/1910 - 31/12/1910;Rizal;Philippines. Luzon. Rizal Province;P01988167;Philippines;Goniothalamus;elmeri;0;0;0;0;;;1;12;1910;;;;0;0;0;121.26;14.57;0;0;12265;P01988167;Loher, A.;<NA>
Ramos, M;;nan;<NA>;01/06/1919 - 30/06/1919;Surigao del Norte;Philippines. Siargao Island;P01988168;Philippines;Goniothalamus;elmeri;0;0;0;0;<NA>;<NA>;1;6;1919;;;;0;0;0;126.051;9.905;0;0;nan;P01988168;Ramos, M.;<NA>
Elmer, ADE;18263;nan;<NA>;01/06/1917 - 31/07/1917;Laguna;Philippine islands. Los Baños (Mt. Maquiling), Province of Laguna, Luzon;P01988169;Philippines;Goniothalamus;elmeri;0;0;0;0;;;1;6;1917;;;;0;0;0;121.199;14.134;0;0;18263;P01988169;Elmer, A.D.E.;<NA>
Elmer, ADE;14932;nan;<NA>;01/11/1915 - 30/11/1915;Sorsogon;Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon;P01988170;Philippines;Goniothalamus;elmeri;0;0;0;0;;;1;11;1915;;;;0;0;0;124.055;12.766;0;0;14932;P01988170;Elmer, A.D.E.;<NA>
Ramos, M;29279;nan;<NA>;01/08/1917 - 31/08/1917;Rizal;Philippines. Mt. Susong-Dalaga. Province of Rizal. Luzon;P01988171;Philippines;Goniothalamus;elmeri;0;0;0;0;;;1;8;1917;;;;0;0;0;121.232;14.332;0;0;29279;P01988171;Ramos, M.;<NA>
Ramos, M;37073;nan;<NA>;01/10/1919 - 30/11/1919;Zamboanga Sibugay;Philippines. Malangas, Zamboanga District, Mindanao;P01988172;Philippines;Goniothalamus;dolichopetalus;0;0;0;0;;;1;10;1919;;;;0;0;0;123.0303669;7.6321118;0;0;37073;P01988172;Ramos, M.;<NA>
Ramos, M;;nan;<NA>;01/06/1922 - 30/06/1922;Oriental Mindoro;Philippines. Pinamalayan, Mindoro;P01988178;Philippines;Goniothalamus;amuyon;0;0;0;0;<NA>;<NA>;1;6;1922;;;;0;0;0;121.4801563;13.0386691;0;0;nan;P01988178;Ramos, M.;<NA>
Ramos, M;29277;nan;<NA>;01/08/1917 - 31/08/1917;Rizal;Philippines. Mt. Susong-Dalaga. Province of Rizal. Luzon;P01988179;Philippines;Goniothalamus;amuyon;0;0;0;0;;;1;8;1917;;;;0;0;0;121.233;14.332;0;0;29277;P01988179;Ramos, M.;<NA>
Otanes, F;;nan;<NA>;01/04/1914 - 30/06/1914;Pangasinan;Umingan, Province of Pangasinan, Luzon, Philippines.;P01988180;Philippines;Goniothalamus;amuyon;0;0;0;0;<NA>;<NA>;1;4;1914;;;;0;0;0;120.8334911;15.9292773;0;0;nan;P01988180;Otanes, F.;<NA>
Merrill;803;Merrill;<NA>;01/02/1915 - 28/02/1915;Batangas;San José, Batangas Province, Luzon;P01988181;Philippines;Goniothalamus;amuyon;0;0;0;0;;;1;2;1915;;;;0;0;0;121.1041375;13.8785511;0;0;803;P01988181;Merrill;Merrill
Ramos, M;;Kessler, P;09/09/1985 - 09/09/1985;01/12/1913 - 31/12/1913;Camarines Sur;Philippines. Sagnay, Camarines;P01988186;Philippines;Goniothalamus;sp.;0;0;0;0;<NA>;<NA>;1;12;1913;9;9;1985;0;0;0;123.5227082;13.6033934;0;0;nan;P01988186;Ramos, M.;Kessler, P.
Ramos, M;41194;nan;<NA>;01/09/1922 - 30/09/1922;Palawan;Philippines. Busuanga Island;P02132756;Philippines;Uvaria;rufa;0;0;0;0;;;1;9;1922;;;;0;0;0;119.99;12.133;0;0;41194;P02132756;Ramos, M.;<NA>
Marche, A;322;nan;<NA>;01/07/1884 - 31/07/1884;Palawan;Malbato. Ile Busuanga. Philippines;P04180329;Philippines;Xanthophyllum;sp.;0;0;0;0;;;1;7;1884;;;;0;0;0;120.1175;12.029;0;0;322;P04180329;Marche, A.;<NA>
Marche, A;322;nan;<NA>;01/07/1884 - 31/07/1884;Palawan;Malbato. Ile Busuanga. Philippines;P04180330;Philippines;Xanthophyllum;sp.;0;0;0;0;;;1;7;1884;;;;0;0;0;120.1175;12.029;0;0;322;P04180330;Marche, A.;<NA>
Ramos, M;48046;nan;<NA>;01/09/1926 - 31/10/1926;Quezon;Philippines. Alabat Island;P01986503;Philippines;Enicosanthum;grandifolium;0;0;0;0;;;1;9;1926;;;;0;0;0;122.05;14.117;0;0;48046;P01986503;Ramos, M.;<NA>
Elmer, ADE;12854;Kessler, P;01/05/2004 - 31/05/2004;01/03/1911 - 31/03/1911;Palawan;Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan, Island of Palawan.;P01986506;Philippines;Enicosanthum;grandifolium;0;0;0;0;;;1;3;1911;1;5;2004;0;0;0;118.7350414;9.7376025;0;0;12854;P01986506;Elmer, A.D.E.;Kessler, P.
Elmer, ADE;15467;nan;<NA>;01/11/1915 - 30/11/1915;Sorsogon;Philippine Islands. Irosin (Mt. Sulusan), Province of Sorsogon, island of Luzon;P01986507;Philippines;Enicosanthum;grandifolium;0;0;0;0;;;1;11;1915;;;;0;0;0;124.0320966;12.7038417;0;0;15467;P01986507;Elmer, A.D.E.;<NA>
Ramos, M;36681;nan;<NA>;01/10/1919 - 31/10/1919;Maguindanao;Philippines. Mt. Tubuan. Zamboanga District. Mindanao;P01986509;Philippines;Enicosanthum;grandifolium;0;0;0;0;;;1;10;1919;;;;0;0;0;124.014;7.001;0;0;36681;P01986509;Ramos, M.;<NA>
Ramos, M;;nan;<NA>;01/08/1923 - 31/10/1923;Bohol;Philippines. Bohol;P01986510;Philippines;Enicosanthum;grandifolium;0;0;0;0;<NA>;<NA>;1;8;1923;;;;0;0;0;124.1616;9.8333;0;0;nan;P01986510;Ramos, M.;<NA>
Elmer, ADE;12565;nan;01/01/1987 - 31/12/1987;01/05/1910 - 31/05/1910;Capiz;Philippine Islands. Magallanes ( Mt. Giting-Giting), Province of Capiz. Island of Sibuyan;P01986512;Philippines;Enicosanthum;klemmei;0;0;0;0;;;1;5;1910;1;1;1987;0;0;0;122.587;12.386;0;0;12565;P01986512;Elmer, A.D.E.;van Setten, A.K.
Ramos, M;26966;Kessler, P;01/05/2004 - 31/05/2004;01/10/1919 - 30/11/1919;Zamboanga Sibugay;Philippines. Malangas, Zamboanga District. Mindanao;P01986513;Philippines;Enicosanthum;gigantifolium;0;0;0;0;;;1;10;1919;1;5;2004;0;0;0;123.0303669;7.6321118;0;0;26966;P01986513;Ramos, M.;Kessler, P.
Ramos, M;45281;nan;<NA>;01/05/1925 - 30/06/1925;Sorsogon;Philippines. Casiguran. Tayabas Province. Luzon;P01986537;Philippines;Haplostichanthus;lanceolata;0;0;0;0;;;1;5;1925;;;;0;0;0;124.0067371;12.8719998;0;0;45281;P01986537;Ramos, M.;<NA>
Ramos, M;36767;nan;<NA>;01/10/1919 - 30/11/1919;Zamboanga Sibugay;Philippines. Malangas. Zamboanga District. Mindanao;P01988748;Philippines;Polyalthia;obliqua;0;0;0;0;;;1;10;1919;;;;0;0;0;123.0303669;7.6321118;0;0;36767;P01988748;Ramos, M.;Le Thomas, A.
